snapshot,issue_id,TMS_selected,TMS_severity,TMS_effort,TMS_created,PMS_selected,PMS_severity,PMS_effort,PMS_created
2019-04-01 00:00:00+00:00,AZBbMYzm-vc9aDr8e5sv,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2019-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xM,True,HIGH,5.0,2019-03-26 21:51:29,False,,,
2019-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xN,True,HIGH,5.0,2019-03-26 21:51:29,False,,,
2019-04-01 00:00:00+00:00,AZUWL0fW36iphIe0EWac,True,INFO,2.0,2019-03-26 21:51:29,False,,,
2019-05-01 00:00:00+00:00,AW0dNVPGx-vQs4-GMWZr,True,LOW,5.0,2019-04-11 23:21:46,False,,,
2019-05-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xJ,True,HIGH,5.0,2017-06-28 16:52:27,False,,,
2019-05-01 00:00:00+00:00,AZUWL0Zn36iphIe0EWaF,True,INFO,2.0,2019-04-19 22:03:49,False,,,
2019-05-01 00:00:00+00:00,AZUWLxge36iphIe0EWWq,True,INFO,2.0,2019-04-11 23:21:46,False,,,
2019-05-01 00:00:00+00:00,AZUWLxge36iphIe0EWWr,True,INFO,2.0,2019-04-11 23:21:46,False,,,
2019-06-01 00:00:00+00:00,AW0dNVPGx-vQs4-GMWZr,True,LOW,5.0,2019-04-11 23:21:46,False,,,
2019-06-01 00:00:00+00:00,AXZoHwDwaap2AIZWylQT,True,LOW,2.0,2019-05-01 20:50:11,False,,,
2019-06-01 00:00:00+00:00,AZBbMYpC-vc9aDr8e5sM,True,HIGH,5.0,2018-09-24 18:30:54,False,,,
2019-06-01 00:00:00+00:00,AZUWL0Zn36iphIe0EWaF,True,INFO,2.0,2019-04-19 22:03:49,False,,,
2019-06-01 00:00:00+00:00,AZUWLxge36iphIe0EWWq,True,INFO,2.0,2019-04-11 23:21:46,False,,,
2019-07-01 00:00:00+00:00,AYegSdS3QrUJwQ4hS6nY,True,INFO,0.0,2019-06-11 21:41:15,False,,,
2019-07-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sm,True,HIGH,5.0,2018-09-24 18:30:54,False,,,
2019-07-01 00:00:00+00:00,AZBbMa61-vc9aDr8e5v2,True,HIGH,5.0,2019-06-25 23:25:51,False,,,
2019-07-01 00:00:00+00:00,AZUWL0Bc36iphIe0EWZU,True,INFO,2.0,2019-06-11 23:14:00,False,,,
2019-07-01 00:00:00+00:00,AZUWL0Bc36iphIe0EWZV,True,INFO,2.0,2019-06-11 23:14:00,False,,,
2019-08-01 00:00:00+00:00,AYegSdUWQrUJwQ4hS6na,True,INFO,0.0,2019-07-10 23:36:43,False,,,
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wJ,True,HIGH,5.0,2019-07-15 18:55:20,False,,,
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wK,True,HIGH,5.0,2019-07-15 18:55:20,False,,,
2019-08-01 00:00:00+00:00,AZUWLzxQ36iphIe0EWY7,True,INFO,2.0,2019-07-11 23:41:38,False,,,
2019-08-01 00:00:00+00:00,AZUWLzxQ36iphIe0EWY8,True,INFO,2.0,2019-07-11 23:41:38,False,,,
2019-09-01 00:00:00+00:00,AYegSeeYQrUJwQ4hS6nc,True,INFO,0.0,2019-08-23 16:59:17,False,,,
2019-09-01 00:00:00+00:00,AZBbMZuj-vc9aDr8e5tt,True,HIGH,5.0,2019-08-27 22:16:22,False,,,
2019-09-01 00:00:00+00:00,AZBbMaW1-vc9aDr8e5uv,True,LOW,2.0,2019-08-21 00:01:22,False,,,
2019-09-01 00:00:00+00:00,AZBbMbUh-vc9aDr8e5wp,True,HIGH,5.0,2019-08-20 21:47:47,False,,,
2019-09-01 00:00:00+00:00,AZBbMbXF-vc9aDr8e5w9,True,MEDIUM,5.0,2019-08-23 16:59:17,False,,,
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s4,True,HIGH,5.0,2019-09-17 17:07:47,False,,,
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s5,True,HIGH,5.0,2019-09-17 17:07:47,False,,,
2019-10-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tP,True,HIGH,5.0,2018-08-10 06:26:25,False,,,
2019-10-01 00:00:00+00:00,AZUWLyCl36iphIe0EWXR,True,INFO,2.0,2019-09-17 17:07:47,False,,,
2019-10-01 00:00:00+00:00,AZUWLyCl36iphIe0EWXS,True,INFO,2.0,2019-09-17 17:07:47,False,,,
2019-11-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tW,True,HIGH,5.0,2019-02-01 23:45:44,False,,,
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5we,True,HIGH,5.0,2019-10-24 03:37:28,False,,,
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5wf,True,MEDIUM,5.0,2019-10-24 03:37:28,False,,,
2019-11-01 00:00:00+00:00,AZUWL0X536iphIe0EWaA,True,INFO,2.0,2019-10-24 03:37:28,False,,,
2019-11-01 00:00:00+00:00,AZUWL0at36iphIe0EWaJ,True,INFO,2.0,2019-10-21 18:15:43,False,,,
2019-12-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tR,True,HIGH,5.0,2019-01-30 23:22:00,False,,,
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w5,True,HIGH,5.0,2019-11-26 18:47:24,False,,,
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w6,True,MEDIUM,5.0,2019-11-26 18:47:24,False,,,
2019-12-01 00:00:00+00:00,AZUWL0bJ36iphIe0EWaM,True,INFO,2.0,2019-11-26 18:47:24,False,,,
2019-12-01 00:00:00+00:00,AZUWL0bJ36iphIe0EWaN,True,INFO,2.0,2019-11-26 18:47:24,False,,,
2020-01-01 00:00:00+00:00,AYegSdQoQrUJwQ4hS6nT,True,INFO,0.0,2019-12-26 19:19:39,False,,,
2020-01-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wR,True,HIGH,5.0,2019-12-18 19:12:18,False,,,
2020-01-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wS,True,HIGH,5.0,2019-12-18 19:12:18,False,,,
2020-01-01 00:00:00+00:00,AZOLYSVE2vcmJlCxpCen,True,HIGH,15.0,2019-12-06 23:17:11,False,,,
2020-01-01 00:00:00+00:00,AZfCaEtGkGiClkN7nmmJ,True,LOW,2.0,2019-12-20 17:25:16,False,,,
2020-02-01 00:00:00+00:00,AXAcs4emAvWtZrXILh87,True,LOW,5.0,2020-01-23 20:42:20,False,,,
2020-02-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wB,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2020-02-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5ww,True,HIGH,5.0,2020-01-23 06:10:36,False,,,
2020-02-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5wy,True,HIGH,5.0,2020-01-23 06:10:36,False,,,
2020-02-01 00:00:00+00:00,AZOLYSVa2vcmJlCxpCer,True,LOW,2.0,2020-01-24 21:20:25,False,,,
