timesteps,mean_reward,month
2048,-1.513,2023-08
4096,-1.3369,2023-08
6144,-1.0979,2023-08
8192,-0.9403,2023-08
10240,-0.8228,2023-08
12288,-0.4463999999999998,2023-08
14336,-0.4066999999999998,2023-08
16384,-0.4267999999999999,2023-08
2048,-1.4335999999999998,2023-09
4096,-1.3971000000000005,2023-09
6144,-1.0,2023-09
8192,-0.9803,2023-09
10240,-0.9619,2023-09
12288,-0.5847999999999999,2023-09
14336,-0.4858999999999998,2023-09
16384,-0.308,2023-09
2048,-1.178,2023-10
4096,-1.1769,2023-10
6144,-0.8432000000000001,2023-10
8192,-0.8805999999999998,2023-10
10240,-0.6238999999999999,2023-10
12288,-0.6249999999999999,2023-10
14336,-0.5651999999999998,2023-10
16384,-0.5063999999999997,2023-10
2048,-0.3077,2023-11
4096,-0.4656999999999998,2023-11
6144,-0.3661999999999998,2023-11
8192,-0.5649999999999998,2023-11
10240,-0.5458,2023-11
12288,-0.4255999999999998,2023-11
14336,-0.3870999999999998,2023-11
16384,-0.6032,2023-11
2048,-0.4447999999999998,2023-12
4096,-0.3862999999999998,2023-12
6144,-0.5052999999999997,2023-12
8192,-0.3862999999999998,2023-12
10240,-0.4261999999999998,2023-12
12288,-0.3861999999999998,2023-12
14336,-0.3473999999999998,2023-12
16384,-0.4463999999999998,2023-12
2048,-0.4656999999999998,2024-01
4096,-0.4460999999999998,2024-01
6144,-0.3271999999999999,2024-01
8192,-0.3472999999999999,2024-01
10240,-0.4659999999999998,2024-01
12288,-0.3463999999999999,2024-01
14336,-0.5457,2024-01
16384,-0.4270999999999998,2024-01
2048,-0.3468999999999997,2024-02
4096,-0.5065999999999998,2024-02
6144,-0.4266999999999998,2024-02
8192,-0.5451999999999999,2024-02
10240,-0.5251999999999998,2024-02
12288,-0.3663999999999998,2024-02
14336,-0.5062999999999999,2024-02
16384,-0.5448,2024-02
2048,-0.4063999999999998,2024-03
4096,-0.4652999999999999,2024-03
6144,-0.4263999999999998,2024-03
8192,-0.4257999999999998,2024-03
10240,-0.4266999999999998,2024-03
12288,-0.4247999999999999,2024-03
14336,-0.3864999999999998,2024-03
16384,-0.4661999999999998,2024-03
2048,-0.5253999999999998,2024-04
4096,-0.3663999999999998,2024-04
6144,-0.4852999999999998,2024-04
8192,-0.3467999999999998,2024-04
10240,-0.4057999999999998,2024-04
12288,-0.3471999999999998,2024-04
14336,-0.5050999999999999,2024-04
16384,-0.3864999999999999,2024-04
2048,-0.5046999999999998,2024-05
4096,-0.3269999999999997,2024-05
6144,-0.3860999999999998,2024-05
8192,-0.5252999999999998,2024-05
10240,-0.5641999999999998,2024-05
12288,-0.4061999999999998,2024-05
14336,-0.4067999999999998,2024-05
16384,-0.4459999999999998,2024-05
2048,-0.3866999999999999,2024-06
4096,-0.4453999999999998,2024-06
6144,-0.4263999999999999,2024-06
8192,-0.5644999999999998,2024-06
10240,-0.3857999999999998,2024-06
12288,-0.4061999999999998,2024-06
14336,-0.4449999999999998,2024-06
16384,-0.5451999999999999,2024-06
2048,-0.6043999999999998,2024-07
4096,-0.3466999999999999,2024-07
6144,-0.4652999999999998,2024-07
8192,-0.3865999999999998,2024-07
10240,-0.3267999999999997,2024-07
12288,-0.3663999999999998,2024-07
14336,-0.5648999999999998,2024-07
16384,-0.5259999999999999,2024-07
2048,-0.4460999999999998,2024-08
4096,-0.4070999999999998,2024-08
6144,-0.4851999999999998,2024-08
8192,-0.4852999999999998,2024-08
10240,-0.4266999999999998,2024-08
12288,-0.4459999999999998,2024-08
14336,-0.4453999999999998,2024-08
16384,-0.4257999999999998,2024-08
2048,-0.4458,2024-09
4096,-0.4852999999999998,2024-09
6144,-0.3660999999999999,2024-09
8192,-0.3863999999999998,2024-09
10240,-0.3666999999999998,2024-09
12288,-0.5643999999999999,2024-09
14336,-0.4061999999999998,2024-09
16384,-0.4266999999999998,2024-09
2048,-0.3270999999999999,2024-10
4096,-0.4664999999999997,2024-10
6144,-0.4663999999999998,2024-10
8192,-0.5053999999999997,2024-10
10240,-0.4267999999999998,2024-10
12288,-0.4256999999999998,2024-10
14336,-0.5047999999999998,2024-10
16384,-0.4453999999999998,2024-10
2048,-0.4461999999999998,2024-11
4096,-0.4653999999999997,2024-11
6144,-0.3663999999999998,2024-11
8192,-0.4258999999999997,2024-11
10240,-0.4256999999999998,2024-11
12288,-0.4450999999999998,2024-11
14336,-0.3265999999999998,2024-11
16384,-0.3458999999999998,2024-11
2048,-0.4058999999999997,2024-12
4096,-0.5252999999999998,2024-12
6144,-0.3669999999999998,2024-12
8192,-0.3468999999999998,2024-12
10240,-0.4660999999999998,2024-12
12288,-0.3860999999999999,2024-12
14336,-0.4059999999999998,2024-12
16384,-0.3662999999999998,2024-12
2048,-0.4261999999999997,2025-01
4096,-0.3453999999999997,2025-01
6144,-0.4454999999999998,2025-01
8192,-0.3666999999999997,2025-01
10240,-0.3270999999999999,2025-01
12288,-0.2673,2025-01
14336,-0.3271999999999998,2025-01
16384,-0.3268999999999998,2025-01
2048,-0.4064999999999997,2025-02
4096,-0.3067999999999999,2025-02
6144,-0.4655999999999998,2025-02
8192,-0.3663999999999998,2025-02
10240,-0.3469999999999997,2025-02
12288,-0.4067999999999998,2025-02
14336,-0.4258999999999999,2025-02
16384,-0.4249999999999999,2025-02
2048,-0.3663999999999998,2025-03
4096,-0.3859999999999998,2025-03
6144,-0.5064999999999998,2025-03
8192,-0.4464999999999999,2025-03
10240,-0.4054999999999998,2025-03
12288,-0.3074,2025-03
14336,-0.4654999999999999,2025-03
16384,-0.3070999999999999,2025-03
2048,-0.4254999999999998,2025-04
4096,-0.4451999999999998,2025-04
6144,-0.4454999999999998,2025-04
8192,-0.2673,2025-04
10240,-0.3267999999999997,2025-04
12288,-0.4265999999999998,2025-04
14336,-0.3459999999999998,2025-04
16384,-0.3871999999999998,2025-04
2048,-0.2280999999999999,2025-05
4096,-0.4061999999999998,2025-05
6144,-0.3272999999999999,2025-05
8192,-0.3078999999999999,2025-05
10240,-0.4461999999999998,2025-05
12288,-0.6237999999999999,2025-05
14336,-0.4843999999999998,2025-05
16384,-0.3272999999999997,2025-05
2048,-0.4860999999999999,2025-06
4096,-0.4452999999999998,2025-06
6144,-0.3864999999999999,2025-06
8192,-0.4264999999999997,2025-06
10240,-0.3669999999999998,2025-06
12288,-0.3863999999999998,2025-06
14336,-0.3862999999999998,2025-06
16384,-0.3275999999999998,2025-06
2048,-0.3669999999999998,2025-07
4096,-0.3660999999999999,2025-07
6144,-0.3467999999999998,2025-07
8192,-0.3671999999999998,2025-07
10240,-0.3662999999999999,2025-07
12288,-0.4656999999999999,2025-07
14336,-0.5062999999999999,2025-07
16384,-0.4261999999999998,2025-07
2048,-0.3665999999999998,2025-08
4096,-0.2282999999999999,2025-08
6144,-0.3265999999999998,2025-08
8192,-0.4059999999999998,2025-08
10240,-0.4257999999999998,2025-08
12288,-0.2875999999999999,2025-08
14336,-0.3278999999999998,2025-08
16384,-0.3865999999999998,2025-08
2048,-0.2086999999999999,2025-09
4096,-0.4262999999999998,2025-09
6144,-0.3066,2025-09
8192,-0.3858999999999998,2025-09
10240,-0.3077,2025-09
12288,-0.3078999999999999,2025-09
14336,-0.3070999999999999,2025-09
16384,-0.2874999999999999,2025-09
2048,-0.3269999999999997,2025-10
4096,-0.4656999999999998,2025-10
6144,-0.2087999999999999,2025-10
8192,-0.3665999999999998,2025-10
10240,-0.2676999999999999,2025-10
12288,-0.4458999999999999,2025-10
14336,-0.4260999999999997,2025-10
16384,-0.3468999999999999,2025-10
2048,-0.1825666899999999,2025-11
4096,-0.1515333699999999,2025-11
6144,-0.0500333699999999,2025-11
8192,-0.0767000299999999,2025-11
10240,-0.03646672,2025-11
12288,-0.1025333699999999,2025-11
14336,0.02013327,2025-11
16384,-0.0767334099999999,2025-11
2048,0.04987561,2025-12
4096,0.02622046,2025-12
6144,0.11415985,2025-12
8192,-0.0036729999999999,2025-12
10240,0.23886525,2025-12
12288,0.14271759,2025-12
14336,0.2044688399999999,2025-12
16384,0.3379703999999999,2025-12
