snapshot,issue_id,reward,severity,effort_minutes,created_at
2019-07-01 00:00:00+00:00,AYegSdS3QrUJwQ4hS6nY,1.0,INFO,0,2019-06-11 21:41:15
2019-07-01 00:00:00+00:00,AZUWL0Bc36iphIe0EWZV,0.8666666666666667,INFO,2,2019-06-11 23:14:00
2019-07-01 00:00:00+00:00,AZUWL0Bc36iphIe0EWZU,0.8666666666666667,INFO,2,2019-06-11 23:14:00
2019-08-01 00:00:00+00:00,AZBbMa7p-vc9aDr8e5v7,7.866666666666666,HIGH,2,2018-08-08 20:46:31
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wJ,7.666666666666667,HIGH,5,2019-07-15 18:55:20
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wK,7.666666666666667,HIGH,5,2019-07-15 18:55:20
2019-08-01 00:00:00+00:00,AZUWLzxQ36iphIe0EWY8,0.8666666666666667,INFO,2,2019-07-11 23:41:38
2019-08-01 00:00:00+00:00,AZUWLzxQ36iphIe0EWY7,0.8666666666666667,INFO,2,2019-07-11 23:41:38
2019-09-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5wA,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2019-09-01 00:00:00+00:00,AZBbMZuj-vc9aDr8e5tt,7.666666666666667,HIGH,5,2019-08-27 22:16:22
2019-09-01 00:00:00+00:00,AZBbMbXF-vc9aDr8e5w9,3.6666666666666665,MEDIUM,5,2019-08-23 16:59:17
2019-09-01 00:00:00+00:00,AZBbMaW1-vc9aDr8e5uv,1.8666666666666667,LOW,2,2019-08-21 00:01:22
2019-09-01 00:00:00+00:00,AYegSeeYQrUJwQ4hS6nc,1.0,INFO,0,2019-08-23 16:59:17
2019-10-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tQ,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s5,7.666666666666667,HIGH,5,2019-09-17 17:07:47
2019-10-01 00:00:00+00:00,AZBbMY2i-vc9aDr8e5s4,7.666666666666667,HIGH,5,2019-09-17 17:07:47
2019-10-01 00:00:00+00:00,AZUWLyCl36iphIe0EWXS,0.8666666666666667,INFO,2,2019-09-17 17:07:47
2019-10-01 00:00:00+00:00,AZUWLyCl36iphIe0EWXR,0.8666666666666667,INFO,2,2019-09-17 17:07:47
2019-11-01 00:00:00+00:00,AZBbMa7p-vc9aDr8e5v7,7.866666666666666,HIGH,2,2018-08-08 20:46:31
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5we,7.666666666666667,HIGH,5,2019-10-24 03:37:28
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5wf,3.6666666666666665,MEDIUM,5,2019-10-24 03:37:28
2019-11-01 00:00:00+00:00,AZUWL0X536iphIe0EWaA,0.8666666666666667,INFO,2,2019-10-24 03:37:28
2019-11-01 00:00:00+00:00,AZUWL0at36iphIe0EWaJ,0.8666666666666667,INFO,2,2019-10-21 18:15:43
2019-12-01 00:00:00+00:00,AZBbMXOD-vc9aDr8e5rC,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w5,7.666666666666667,HIGH,5,2019-11-26 18:47:24
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w6,3.6666666666666665,MEDIUM,5,2019-11-26 18:47:24
2019-12-01 00:00:00+00:00,AZUWL0bJ36iphIe0EWaM,0.8666666666666667,INFO,2,2019-11-26 18:47:24
2019-12-01 00:00:00+00:00,AZUWL0bJ36iphIe0EWaN,0.8666666666666667,INFO,2,2019-11-26 18:47:24
2020-01-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tX,7.666666666666667,HIGH,5,2019-02-01 23:45:44
2020-01-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wR,7.666666666666667,HIGH,5,2019-12-18 19:12:18
2020-01-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wS,7.666666666666667,HIGH,5,2019-12-18 19:12:18
2020-01-01 00:00:00+00:00,AZfCaEtGkGiClkN7nmmJ,1.8666666666666667,LOW,2,2019-12-20 17:25:16
2020-01-01 00:00:00+00:00,AYegSdQoQrUJwQ4hS6nT,1.0,INFO,0,2019-12-26 19:19:39
2020-02-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tT,7.666666666666667,HIGH,5,2019-02-01 23:45:44
2020-02-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5ww,7.666666666666667,HIGH,5,2020-01-23 06:10:36
2020-02-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5wy,7.666666666666667,HIGH,5,2020-01-23 06:10:36
2020-02-01 00:00:00+00:00,AZOLYSVa2vcmJlCxpCer,1.8666666666666667,LOW,2,2020-01-24 21:20:25
2020-02-01 00:00:00+00:00,AXAcs4emAvWtZrXILh87,1.6666666666666667,LOW,5,2020-01-23 20:42:20
2020-03-01 00:00:00+00:00,AZBbMbbZ-vc9aDr8e5xT,7.666666666666667,HIGH,5,2020-02-06 22:34:18
2020-03-01 00:00:00+00:00,AZFdurJCuttMHqCUPIl5,3.6666666666666665,MEDIUM,5,2020-02-27 19:23:17
2020-03-01 00:00:00+00:00,AZOLYSb02vcmJlCxpCew,1.8666666666666667,LOW,2,2020-02-13 18:22:50
2020-03-01 00:00:00+00:00,AYD3mR8BQQwKUSAfuvSK,1.6666666666666667,LOW,5,2020-02-24 22:23:50
2020-03-01 00:00:00+00:00,AYegSdQ-QrUJwQ4hS6nU,1.0,INFO,0,2020-02-13 18:22:50
2020-04-01 00:00:00+00:00,AZWRA-xlEtWiSfCgz6G1,6.0,HIGH,30,2019-10-09 17:21:03
