time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
8192,4,350,4.87,23,21.204666530000004,0.0003,30,54.688941192626956,0.0016627907752990723,0.44453125,-4.381150716543198,-0.051578180224169046,0.022043442,21.281234741210938,0.2
10240,5,371,4.9,27,24.073999830000005,0.0003,40,62.08145358562469,0.0012897849082946777,0.414794921875,-4.258390612900257,-0.050864441218436696,0.018696867,26.786306381225586,0.2
12288,6,365,4.82,33,23.84066656,0.0003,50,67.14190726280212,0.057828307151794434,0.143310546875,-4.159384156763553,-0.036878788206377064,0.014686834,31.01007652282715,0.2
14336,7,353,4.79,40,25.86399989,0.0003,60,67.78617819547654,0.1311001181602478,0.065087890625,-4.056257581710815,-0.022976761450991035,0.010983074,28.235307693481445,0.2
16384,8,366,4.71,44,25.482666549999998,0.0003,70,63.28874006271362,0.2929774522781372,0.01572265625,-3.9695641040802,-0.014460283829248511,0.007045176,29.80864143371582,0.2
2048,1,1022,4.97,2,14.543333319999999,0.0003,80,57.2174370765686,0.35171347856521606,0.007861328125,-3.8884109973907472,-0.011173852134379558,0.0053334697,37.384925842285156,0.2
4096,2,666,4.83,6,16.55199991,0.0003,10,35.910518592596055,-0.0005323886871337891,0.50810546875,-4.559009949862957,-0.06957303280651103,0.040508445,16.57563591003418,0.2
6144,3,470,4.96,13,18.91666656,0.0003,20,44.03088382482529,8.189678192138672e-05,0.452001953125,-4.474722237884999,-0.055945006309775634,0.024013799,22.78866958618164,0.2
8192,4,434,4.86,18,23.239999949999998,0.0003,30,55.972169530391696,0.00015366077423095703,0.465966796875,-4.384259697794914,-0.05187378693372011,0.02132481,26.428462982177734,0.2
10240,5,445,4.7,22,22.45666663,0.0003,40,70.23223963975906,9.340047836303711e-05,0.428759765625,-4.258385787904262,-0.04698970978788566,0.018719673,31.510478973388672,0.2
12288,6,384,4.81,31,24.891333239999998,0.0003,50,77.4532225728035,0.0046315789222717285,0.314794921875,-4.145129103958607,-0.04125170596089447,0.016593728,32.457496643066406,0.2
14336,7,396,4.78,36,26.524666619999994,0.0003,60,79.88807779550552,0.030012071132659912,0.09375,-4.064975291490555,-0.02475874038937036,0.012204844,43.720314025878906,0.2
16384,8,385,4.8,42,27.791999890000003,0.0003,70,84.6830396771431,0.07837498188018799,0.0291015625,-3.982096937298775,-0.01603185309213586,0.008037163,38.77428436279297,0.2
2048,1,1018,4.91,2,14.092666590000004,0.0003,80,76.77657381296157,0.16345137357711792,0.0146484375,-3.90396523848176,-0.01612087719113333,0.007758975,31.093725204467773,0.2
4096,2,658,4.96,6,17.26933326,0.0003,10,32.85730626583099,0.0001328587532043457,0.487890625,-4.5950734749436375,-0.06550862950389273,0.03519499,15.53727912902832,0.2
6144,3,407,4.89,15,17.96333323,0.0003,20,47.2398997426033,0.00025975704193115234,0.427685546875,-4.518621510267257,-0.04929638698813506,0.021794852,25.39643096923828,0.2
8192,4,425,4.96,19,21.650666600000005,0.0003,30,53.45153038501739,0.00020760297775268555,0.470068359375,-4.407149462401867,-0.054319098345877136,0.021395711,24.28898811340332,0.2
10240,5,398,4.93,25,24.547333260000002,0.0003,40,66.55764532089233,0.009815394878387451,0.45,-4.284125030040741,-0.054756131971953434,0.019533314,36.56924819946289,0.2
12288,6,383,4.87,32,25.686666549999998,0.0003,50,69.47456693649292,0.044489145278930664,0.215234375,-4.173433272540569,-0.042293377096939366,0.015931563,35.192840576171875,0.2
14336,7,396,4.8,36,26.232666599999998,0.0003,60,69.54830906391143,0.16568434238433838,0.072705078125,-4.0708630084991455,-0.0287633987958543,0.012019729,26.59641456604004,0.2
16384,8,363,4.8,45,26.75933326,0.0003,70,63.59579608440399,0.3088231682777405,0.020751953125,-3.9840456254780294,-0.01551861348852981,0.007593163,37.25676727294922,0.2
2048,1,1050,4.9,1,14.117333280000002,0.0003,80,59.11148960590363,0.3187924027442932,0.033544921875,-3.890230219066143,-0.015231549223244656,0.0074271276,29.565168380737305,0.2
4096,2,477,4.94,8,17.18799992,0.0003,10,31.218866592645647,-6.115436553955078e-05,0.488330078125,-4.600021648406982,-0.06666500199062284,0.038129564,11.04590129852295,0.2
6144,3,419,4.94,14,19.47666657,0.0003,20,45.48882364630699,0.00041282176971435547,0.42880859375,-4.524801799654961,-0.05304884770303033,0.023671325,18.18534278869629,0.2
8192,4,434,4.85,18,21.311333290000004,0.0003,30,54.17748286128044,4.488229751586914e-05,0.50205078125,-4.428072303533554,-0.05656289250619011,0.021720286,27.79159927368164,0.2
10240,5,367,4.85,27,23.510666609999994,0.0003,40,63.77933022975922,0.0023992061614990234,0.451171875,-4.311805078387261,-0.051628962147515264,0.019191518,37.70240020751953,0.2
12288,6,383,4.7,32,24.249333319999995,0.0003,50,73.57001161575317,0.008500933647155762,0.332958984375,-4.193523669242859,-0.046019891877949706,0.01818564,41.57481384277344,0.2
