snapshot,issue_id,reward,severity,effort_minutes,created_at,age_days_at_selection
2019-09-01 00:00:00+00:00,AZBbMbUh-vc9aDr8e5wp,7.666666666666667,high,5,2019-08-20 21:47:47+00:00,11
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w5,7.666666666666667,high,5,2019-11-26 18:47:24+00:00,4
2019-12-01 00:00:00+00:00,AZBbMbV2-vc9aDr8e5w6,3.6666666666666665,medium,5,2019-11-26 18:47:24+00:00,4
2021-05-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5w0,7.75,high,5,2020-01-23 06:10:36+00:00,463
2020-02-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5ww,7.666666666666667,high,5,2020-01-23 06:10:36+00:00,8
2021-09-01 00:00:00+00:00,AZBbMbVZ-vc9aDr8e5wy,7.75,high,5,2020-01-23 06:10:36+00:00,586
2019-09-01 00:00:00+00:00,AZBbMbXF-vc9aDr8e5w9,3.6666666666666665,medium,5,2019-08-23 16:59:17+00:00,8
2020-03-01 00:00:00+00:00,AZBbMbXQ-vc9aDr8e5xA,7.666666666666667,high,5,2018-09-24 18:30:54+00:00,523
2024-03-01 00:00:00+00:00,AZBbMbXn-vc9aDr8e5xD,1.5,low,10,2024-02-29 06:32:39+00:00,0
2020-06-01 00:00:00+00:00,AZBbMbZ8-vc9aDr8e5xL,1.8666666666666667,low,2,2020-05-28 23:41:30+00:00,3
2017-07-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xE,7.666666666666667,high,5,2017-06-28 16:52:27+00:00,2
2021-10-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xF,7.75,high,5,2017-06-28 16:52:27+00:00,1555
2023-03-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xG,7.75,high,5,2017-06-28 16:52:27+00:00,2071
2022-09-01 00:00:00+00:00,AZBbMbZQ-vc9aDr8e5xJ,7.75,high,5,2017-06-28 16:52:27+00:00,1890
2019-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xM,7.666666666666667,high,5,2019-03-26 21:51:29+00:00,5
2021-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xN,7.75,high,5,2019-03-26 21:51:29+00:00,736
2020-09-01 00:00:00+00:00,AZBbMbbZ-vc9aDr8e5xR,7.666666666666667,high,5,2020-02-06 22:34:18+00:00,207
2024-02-01 00:00:00+00:00,AZBbMbdh-vc9aDr8e5xV,7.75,high,5,2024-01-18 19:22:28+00:00,13
2024-02-01 00:00:00+00:00,AZBbMbdh-vc9aDr8e5xW,7.75,high,5,2024-01-18 19:22:28+00:00,13
2024-02-01 00:00:00+00:00,AZBbMbdh-vc9aDr8e5xX,7.75,high,5,2024-01-18 19:22:28+00:00,13
2024-02-01 00:00:00+00:00,AZBbMbdh-vc9aDr8e5xY,7.75,high,5,2024-01-18 19:22:28+00:00,13
2022-03-01 00:00:00+00:00,AZBbMbeb-vc9aDr8e5xd,7.75,high,5,2020-04-16 22:29:27+00:00,683
2024-01-01 00:00:00+00:00,AZBbMbfD-vc9aDr8e5xe,7.75,high,5,2023-12-15 18:44:51+00:00,16
2024-01-01 00:00:00+00:00,AZBbMbfD-vc9aDr8e5xf,7.75,high,5,2023-12-15 18:44:51+00:00,16
2023-07-01 00:00:00+00:00,AZBbMbke-vc9aDr8e5xk,7.75,high,5,2019-02-28 00:21:53+00:00,1583
2024-07-01 00:00:00+00:00,AZBrCp--F4a4jrrD8pYK,1.9,low,2,2024-06-30 21:13:47+00:00,0
2024-07-01 00:00:00+00:00,AZBrCp--F4a4jrrD8pYL,1.5,low,10,2024-06-30 21:13:47+00:00,0
2024-07-01 00:00:00+00:00,AZBrCp--F4a4jrrD8pYM,1.5,low,10,2024-06-30 21:13:47+00:00,0
2024-07-01 00:00:00+00:00,AZBrCp--F4a4jrrD8pYN,1.25,low,15,2024-06-30 21:13:47+00:00,0
